GID_1,GID_2,POP_ZONE,YEAR,LLPC,LLPC_PCT_CHANGE,LOG_LUMINOSITY_SUM,LUMINOSITY_PCT_CHANGE,AVG_TEMP_PCT_CHANGE,MAX_TEMP_PCT_CHANGE,APPC,APPC_PCT_CHANGE,POPULATION,POP_PCT_CHANGE,ECON_SCORE,ENVR_SCORE,NAME_1,REGION_NAME,NAME_2,COLOR
VNM.3_1,VNM.3.3_1,rural,2016,0.00045100538299464407,-6.348958573527086,6.326722891786417,4.186180866312306,-0.9836914885273829,-3.1631554236759007,0.0004922991915139771,13.141685969852833,14028.04296875,-0.475992588865648,34.388057893780655,64.84747451457392,Bac Giang,Northern Midlands and Mountain Areas,Lang Giang,#F05223
VNM.3_1,VNM.3.3_1,total,2018,4.991994043963762e-05,,9.436831202468811,-23.336194009934097,-3.6145434654902275,-1.3848693411134927,0.00025629374149581017,,189039.312133789,,,,Bac Giang,Northern Midlands and Mountain Areas,Lang Giang,#F05223
VNM.3_1,VNM.3.3_1,total,2015,4.947941606796908e-05,-0.8824617333051843,9.354746258554872,-7.880629442601483,2.8232536596200175,1.071820846980831,0.00027634334408437863,7.822899799094873,189063.392456055,0.0127382616843974,62.075767081312875,46.53211355948434,Bac Giang,Northern Midlands and Mountain Areas,Lang Giang,#F05223
VNM.3_1,VNM.3.3_1,total,2016,5.0080822034620876e-05,1.215466984949165,9.485683360656264,13.989608198895764,-0.9797761669321559,-3.0684740665025245,0.0002826849779652385,2.2948386551056243,189407.501220703,0.18200708248055086,69.6483423968691,56.57153137995395,Bac Giang,Northern Midlands and Mountain Areas,Lang Giang,#F05223
VNM.3_1,VNM.3.3_1,total,2017,4.950062381166617e-05,5.888700243843581,9.365761600624502,74.26092857424055,0.70581499270439,4.98439912331643,0.00025636606142768337,-12.848989740140993,189204.920654297,0.391961239377947,71.87239717374013,17.158171112547382,Bac Giang,Northern Midlands and Mountain Areas,Lang Giang,#F05223
VNM.3_1,VNM.3.3_1,total,2019,5.146909574888581e-05,3.976660869384263,9.702571682071023,1.2040835383636317,1.7301292250253564,1.5067407817690448,0.00025315127388048493,-1.253983280507387,188512.573242188,-0.3659246333101551,56.026513377325514,55.70481606345092,Bac Giang,Northern Midlands and Mountain Areas,Lang Giang,#F05223
VNM.3_1,VNM.3.3_1,urban,2019,5.463936489615565e-05,,9.646886471821254,30.853578039971662,3.735915859674388,1.404317300865121,0.0002355560464376592,,176555.611328125,,,,Bac Giang,Northern Midlands and Mountain Areas,Lang Giang,#F05223
VNM.3_1,VNM.3.3_1,urban,2018,5.286239077443518e-05,-3.2521866333872773,9.377977684614219,6.253932602195311,-0.4229725975752996,-4.046494949858237,0.0002379993912943864,1.037266881355059,177403.5859375,0.48028754396203244,58.166942828401986,78.26466613809147,Bac Giang,Northern Midlands and Mountain Areas,Lang Giang,#F05223
VNM.3_1,VNM.3.3_1,urban,2016,5.30934265693396e-05,0.43705135450693433,9.442364568682027,14.466019944356656,-0.9778233347290444,-3.0684740665025245,0.00026223040548094425,10.181124436820932,177844.32421875,0.24843820316309273,69.93595002208619,62.59090834662226,Bac Giang,Northern Midlands and Mountain Areas,Lang Giang,#F05223
VNM.3_1,VNM.3.3_1,urban,2017,5.244531617795598e-05,-1.220697990809072,9.317316050756194,-11.754591329599506,-1.3695972966120573,6.376088505499533,0.0002379954637968067,-9.241850364258642,177657.734375,-0.10491751399414051,48.698718367223954,24.977298490755757,Bac Giang,Northern Midlands and Mountain Areas,Lang Giang,#F05223
